unq.sample,phageORhost,trt,line,transfer,ancestor,seed.bank,phage_trt,subpop,seq_run,raw_R1,raw_R2,ddup_R1,ddup_R2,ancestor_fasta,ancestor_gff
SNCt-L1-T14,host,SNCt,L1,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L1-T14-rV_S50_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L1-T14-rV_S50_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L1-T14-rV_S50_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L1-T14-rV_S50_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L2-T14,host,SNCt,L2,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L2-T14-rV_S51_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L2-T14-rV_S51_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L2-T14-rV_S51_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L2-T14-rV_S51_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L3-T14,host,SNCt,L3,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L3-T14-rV_S52_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L3-T14-rV_S52_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L3-T14-rV_S52_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L3-T14-rV_S52_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L1-T14,host,SNO,L1,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L1-T14-rV_S47_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L1-T14-rV_S47_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L1-T14-rV_S47_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L1-T14-rV_S47_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L2-T14,host,SNO,L2,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L2-T14-rV_S48_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L2-T14-rV_S48_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L2-T14-rV_S48_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L2-T14-rV_S48_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L3-T14,host,SNO,L3,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L3-T14-rV_S49_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L3-T14-rV_S49_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L3-T14-rV_S49_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L3-T14-rV_S49_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
WLCt-L1-T14,host,WLCt,L1,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L1-T14-rS_S32_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L1-T14-rS_S32_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rS_S32_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rS_S32_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L1-T14,host,WLCt,L1,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L1-T14-rV_S26_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L1-T14-rV_S26_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rV_S26_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rV_S26_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L2-T14,host,WLCt,L2,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L2-T14-rS_S33_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L2-T14-rS_S33_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rS_S33_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rS_S33_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L2-T14,host,WLCt,L2,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L2-T14-rV_S27_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L2-T14-rV_S27_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rV_S27_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rV_S27_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L3-T14,host,WLCt,L3,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L3-T14-rS_S34_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L3-T14-rS_S34_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rS_S34_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rS_S34_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L3-T14,host,WLCt,L3,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L3-T14-rV_S28_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L3-T14-rV_S28_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rV_S28_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rV_S28_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L1-T14,host,WLO,L1,T14,delta6-ANC,long_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLO-L1-T14-rS_S29_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L1-T14-rS_S29_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L1-T14-rS_S29_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L1-T14-rS_S29_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L1-T14,host,WLO,L1,T14,delta6-ANC,long_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLO-L1-T14-rV_S23_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L1-T14-rV_S23_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L1-T14-rV_S23_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L1-T14-rV_S23_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L2-T14,host,WLO,L2,T14,delta6-ANC,long_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLO-L2-T14-rS_S30_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L2-T14-rS_S30_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L2-T14-rS_S30_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L2-T14-rS_S30_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L2-T14,host,WLO,L2,T14,delta6-ANC,long_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLO-L2-T14-rV_S24_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L2-T14-rV_S24_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L2-T14-rV_S24_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L2-T14-rV_S24_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L3-T14,host,WLO,L3,T14,delta6-ANC,long_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLO-L3-T14-rS_S31_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L3-T14-rS_S31_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L3-T14-rS_S31_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L3-T14-rS_S31_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLO-L3-T14,host,WLO,L3,T14,delta6-ANC,long_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLO-L3-T14-rV_S25_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLO-L3-T14-rV_S25_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L3-T14-rV_S25_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLO-L3-T14-rV_S25_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L1-T14,host,WSCt,L1,T14,delta6-ANC,short_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSCt-L1-T14-rS_S44_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L1-T14-rS_S44_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L1-T14-rS_S44_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L1-T14-rS_S44_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L1-T14,host,WSCt,L1,T14,delta6-ANC,short_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSCt-L1-T14-rV_S38_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L1-T14-rV_S38_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L1-T14-rV_S38_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L1-T14-rV_S38_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L2-T14,host,WSCt,L2,T14,delta6-ANC,short_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSCt-L2-T14-rS_S45_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L2-T14-rS_S45_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L2-T14-rS_S45_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L2-T14-rS_S45_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L2-T14,host,WSCt,L2,T14,delta6-ANC,short_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSCt-L2-T14-rV_S39_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L2-T14-rV_S39_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L2-T14-rV_S39_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L2-T14-rV_S39_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L3-T14,host,WSCt,L3,T14,delta6-ANC,short_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSCt-L3-T14-rS_S46_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L3-T14-rS_S46_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L3-T14-rS_S46_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L3-T14-rS_S46_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSCt-L3-T14,host,WSCt,L3,T14,delta6-ANC,short_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSCt-L3-T14-rV_S40_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSCt-L3-T14-rV_S40_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L3-T14-rV_S40_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSCt-L3-T14-rV_S40_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L1-T14,host,WSO,L1,T14,delta6-ANC,short_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSO-L1-T14-rS_S41_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L1-T14-rS_S41_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L1-T14-rS_S41_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L1-T14-rS_S41_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L1-T14,host,WSO,L1,T14,delta6-ANC,short_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSO-L1-T14-rV_S35_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L1-T14-rV_S35_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L1-T14-rV_S35_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L1-T14-rV_S35_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L2-T14,host,WSO,L2,T14,delta6-ANC,short_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSO-L2-T14-rS_S42_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L2-T14-rS_S42_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L2-T14-rS_S42_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L2-T14-rS_S42_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L2-T14,host,WSO,L2,T14,delta6-ANC,short_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSO-L2-T14-rV_S36_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L2-T14-rV_S36_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L2-T14-rV_S36_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L2-T14-rV_S36_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L3-T14,host,WSO,L3,T14,delta6-ANC,short_seed_bank,SPO1,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WSO-L3-T14-rS_S43_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L3-T14-rS_S43_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L3-T14-rS_S43_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L3-T14-rS_S43_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WSO-L3-T14,host,WSO,L3,T14,delta6-ANC,short_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-WSO-L3-T14-rV_S37_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WSO-L3-T14-rV_S37_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L3-T14-rV_S37_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WSO-L3-T14-rV_S37_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
SNCt-L1-T1,host,SNCt,L1,T1,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L1-T1-veg_S16_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L1-T1-veg_S16_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L1-T1-rV_S16_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L1-T1-rV_S16_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L1-T4,host,SNCt,L1,T4,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L1-T4-veg_S46_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L1-T4-veg_S46_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L1-T4-rV_S46_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L1-T4-rV_S46_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L2-T1,host,SNCt,L2,T1,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L2-T1-veg_S17_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L2-T1-veg_S17_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L2-T1-rV_S17_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L2-T1-rV_S17_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L2-T4,host,SNCt,L2,T4,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L2-T4-veg_S47_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L2-T4-veg_S47_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L2-T4-rV_S47_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L2-T4-rV_S47_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L3-T1,host,SNCt,L3,T1,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L3-T1-veg_S18_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L3-T1-veg_S18_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L3-T1-rV_S18_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L3-T1-rV_S18_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L3-T4,host,SNCt,L3,T4,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNCt-L3-T4-veg_S48_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNCt-L3-T4-veg_S48_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L3-T4-rV_S48_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNCt-L3-T4-rV_S48_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L1-T1,host,SNO,L1,T1,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNO-L1-T1-veg_S7_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNO-L1-T1-veg_S7_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNO-L1-T1-rV_S7_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNO-L1-T1-rV_S7_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L1-T4,host,SNO,L1,T4,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2957,data/input/fastq/host/GSF2957-SNO-L1-T4-veg_S37_R1_001.fastq.gz,data/input/fastq/host/GSF2957-SNO-L1-T4-veg_S37_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNO-L1-T4-rV_S37_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2957-SNO-L1-T4-rV_S37_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
